,content
74,"Lucy,The rent roll spreadsheet is starting to look better.  See if you can add1.  Use a formula in column E.  Add the value in column C to column D.  Itshould read =c6+d6.  Then copy this formula to the rows below.2.  Column H needs a formula.  Subtract amount paid from amount owed.=e6-g6.3.  Column F is filled with the #### sign.  this is because the column widthis too narrow.  Use you mouse to click on the line beside theletter F.  Hold the left mouse button down and drag the column wider.4.  After we get the rent part fixed, lets bring the database columns up tothis sheet and place them to the right in columns J and beyond.Phillip"
75,"Lucy,I got your email with the attachment.  Let's work together today to get thisdonePhillip"
76,you have my approval
77,"Lucy,We can discuss your email later.  How is progress on creating thespreadsheets.  You will probably need to close the file before you attach tofiles.Phillip"
78,"Lucy,Please open this excel file and input the rents and names due for this week.Then email the file back."
79,"Open the ""utility"" spreadsheet and try to complete the analysis of whether itis better to be a small commercial or a medium commercial (LP-1).You will need to get the usage for that meter for the last 12 months.  If wehave one year of data, we can tell which will be cheaper.  Use the ratesdescribed in the spreadsheet.  This is a great chance for you to practiceexcel."
80,"Mac,Gas Sales 916,000/day x 365 days = 334,340,000/yearEstimated Gas Prices $985,721,000/334,340,000= $2.95/mcfActual gas prices are around $1.00/mcf higher and rising.(334,340,000 mct X $1/mcf)/116,897,000 shares outst = $2.86 additional EPSX 12 P/E multiple = $34 a shareThat is just a back of the envelope valuation based on gas prices.  I thinkcrude price are undervalued by the tune of $10/share.Current price 37Nat. Gas 34Crude  10Total  81Can you take a look at these numbers and play devil's advocate?  To me thislooks like the best stock to own Also can you send me a report on Calpine,Tosco, and SLB?Thank you,Phillip"
81,"Phillip,We have been working on different apartments today and having tolisten to different, people about what Mary is saying should i be worried?ants seem to be invading my apartment.You got my other fax's Wade is workingon the bulletin board that I need up so that I can let tenants know aboutwhat is going on.Gave #25 a notice about having to many people staying inthat apt and that problem has been resolved.Also I have a tenant in #29 thatis complaining about #28 using fowl language.I sent #28 a lease violation wewill see how that goescall you tomorrowThanx Lucy________________________________________________________________________"
82,"Phillip,The a/c I bought today for #17 cost $166.71 pd by ck#14298/16/00 at WAL-MART.Also on 8/15/00 Ralph's Appliance Centerck#1428frig & stove for apt #20-B IVOICE # 000119 AMT=308.56 (STOVE=150.00(frig=125.00)DEL CHRG=15.00\TAX=18.56 TOTAL=308.56.FAX MACHINE FORFFICE CK # 1427=108.25 FROM sTEELMAN OFFICE PRODUCTS.                                           Thanxs, Lucy________________________________________________________________________"
83,"Phillip,Today was one of those days because Wade had to go pay his fine andI had to go take him that takes alot of time out of my schedule.If you get achance will you mention to him that he needs to, try to fix his van so ththe can go get what ever he needs. Tomorrow gary is going to be here.I haveto go but Iwill E-Mail you tomorrowLucy________________________________________________________________________"
84,"If you cannot read this email, please click here.Earnings.com			[IMAGE]?[IMAGE]			yelblue_pixel.gif (43 bytes)?[IMAGE]?CalendarPortfolioMarket[IMAGE][IMAGE][IMAGE][IMAGE][IMAGE][IMAGE][IMAGE][IMAGE][IMAGE][IMAGE]??[IMAGE]?Add NT to my portfolio[IMAGE]?Symbol lookup[IMAGE]?Email this page to a friend?Email This Page To A FriendMarket Summary[IMAGE]?View Today's Upgrades/Downgrades/Coverage InitiatedBriefingAnalyst History - Nortel Networks Corporation (NT)DateBrokerage FirmActionDetails12/13/2000FS Van KasperCoverage Initiatedat Buy11/21/2000Lazard Freres & Co.Coverage Initiatedat Buy11/06/2000Unterberg TowbinDowngradedto Buyfrom Strong Buy11/02/2000S G CowenDowngradedto Buyfrom Strong Buy10/25/2000Gerard Klauer MattisonUpgradedto Buyfrom Outperform10/25/2000Lehman BrothersDowngradedto Outperformfrom Buy10/25/2000Chase H&QDowngradedto Buyfrom Strong Buy10/04/2000Sands BrothersCoverage Initiatedat Buy10/03/2000ING BaringsCoverage Initiatedat Strong Buy09/28/2000Sanford BernsteinDowngradedto Mkt Performfrom Outperform09/26/2000Josephthal and Co.Coverage Initiatedat Buy08/08/2000DLJCoverage Initiatedat Buy07/28/2000A.G. EdwardsUpgradedto Accumulatefrom Maintain Position07/27/2000ABN AMROUpgradedto Top Pickfrom Buy06/15/2000Bear StearnsCoverage Initiatedat Attractive05/25/2000Chase H&QUpgradedto Strong Buyfrom Buy04/28/2000First Union CapitalCoverage Initiatedat Strong Buy04/03/2000Dresdner Kleinwort BensonCoverage Initiatedat Buy03/21/2000Wasserstein PerellaCoverage Initiatedat Hold03/15/2000Chase H&QUpgradedto Buyfrom Market PerformBriefing.com is the leading Internet provider of live market analysis forU.S. Stock, U.S. Bond and world FX market participants., 1999-2000 Earnings.com, Inc., All rights reservedabout us | contact us | webmaster |site mapprivacy policy |terms of serviceClick Here if you would like to change your email alert settings."
85,"I checked into exercising options with Smith Barney, but Enron has some kindof exclusive with Paine Weber.  I am starting to exercise now, but I am goingto use the proceeds to buy another apartment complex.What do you think about selling JDSU and buying SDLI?Also can you look at EOG as a play on rising oil and gas prices.Thanks,Phillip"
86,"I tried the new address but I don't have access.  also, what do I need toenter under domain?"
87,"Arnold/HOU/ECT@ECT, Scott Neal/HOU/ECT@ECT, Hunter S Shively/HOU/ECT@ECT,Phillip K Allen/HOU/ECT@ECT, Janet R Dietrich/HOU/ECT@ECT, Christopher FCalger/PDX/ECT@ECT, W David Duran/HOU/ECT@ECT, Raymond Bowen/HOU/ECT@ECT,Jeff Donahue/HOU/ECT@ECT, Brian Redmond/HOU/ECT@ECT, C JohnThompson/Corp/Enron@ENRON, Scott Josey/Corp/Enron@ENRON, RobMilnthorp/CAL/ECT@ECT, Max Yzaguirre/NA/Enron@ENRON, BethPerlman/HOU/ECT@ECT, Wes Colwell/HOU/ECT@ECT, Sally Beck/HOU/ECT@ECT, DavidOxley/HOU/ECT@ECT, Joseph Deffner/HOU/ECT@ECT, Jordan Mintz/HOU/ECT@ECT, MarkE Haedicke/HOU/ECT@ECTRangel/HOU/ECT@ECT, Kimberly Brown/HOU/ECT@ECT, Airam Arteaga/HOU/ECT@ECT,Christy Chapman/HOU/ECT@ECT, Tina Rode/HOU/ECT@ECT, MarshaSchiller/HOU/ECT@ECT, Lillian Carroll/HOU/ECT@ECT, TonaiLehr/Corp/Enron@ENRON, Nicole Mayer/HOU/ECT@ECT, Darlene CForsyth/HOU/ECT@ECT, Janette Elbertson/HOU/ECT@ECT, AngelaMcCulloch/CAL/ECT@ECT, Pilar Cerezo/NA/Enron@ENRON, Cherylene RWestbrook/HOU/ECT@ECT, Shirley Tijerina/Corp/Enron@ENRON, NickiDaw/NA/Enron@Enron, Kimberly Hillis/HOU/ECT@ectThis is a reminder !!!!!  There will be a Friday Meeting August 18, 2000.This meeting replaces the every Friday Meeting and will be held every otherFriday.If you have any questions or conflicts, please feel free to call me (3-0643)or Bev (3-7857).Thanks,Kay 3-0643"
